time,green,red,yellow,net(g-r)
1781879510.9,0,0,30,0
1781879523.9,0,,0,
1781879524.9,1,0,0,1
1781879527.0,1,3,1,-2
1781880280.2,60,60,13,0
1781880281.2,1,0,13,1
1781880282.2,0,0,0,0
1781880284.2,1,0,0,1
1781880285.2,1,1,3,0
1781880289.2,1,1,33,0
1781880290.2,1,1,1,0
1781880293.2,1,1,2,0
1781880295.2,6,1,2,5
1781880298.2,6,6,6,0
1781880299.2,6,1,6,5
1781880303.2,0,0,6,0
1781880304.2,1,6,6,-5
1781880305.2,3,6,2,-3
1781880306.2,0,6,2,-6
1781880311.2,0,6,0,-6
1781880312.2,0,6,2,-6
1781880313.2,0,1,2,-1
1781880319.2,3,1,2,2
1781880320.2,10,1,2,9
1781880321.2,11,1,2,10
1781880322.2,16,1,2,15
1781880324.2,16,6,6,10
1781880325.2,16,6,11,10
1781880328.2,16,6,31,10
1781880329.2,16,0,31,16
1781880330.2,16,6,31,10
1781880332.2,0,6,31,-6
1781880333.2,0,6,11,-6
1781880334.2,0,6,31,-6
1781880397.3,0,0,0,0
1781880400.3,1,3,0,-2
1781880401.3,1,0,0,1
1781880403.3,1,0,3,1
1781880404.3,1,0,0,1
1781880405.3,1,6,0,-5
1781880406.3,1,0,0,1
1781880408.3,3,0,0,3
1781880411.3,1,0,0,1
1781880412.3,6,1,3,5
1781880413.3,6,1,0,5
1781880415.3,6,6,0,0
1781880418.3,0,6,0,-6
1781880419.3,1,6,0,-5
1781880421.3,1,6,1,-5
1781880426.3,0,6,1,-6
1781880428.3,3,6,1,-3
1781880429.3,10,6,1,4
1781880430.3,10,6,2,4
1781880431.3,16,0,2,16
1781880432.3,11,0,2,11
1781880435.3,31,0,2,31
1781880436.3,13,0,2,13
1781880437.3,16,0,2,16
1781880438.3,16,1,2,15
1781880439.3,0,1,2,-1
1781880440.3,16,1,2,15
1781880445.3,16,1,6,15
1781880449.3,16,1,2,15
1781880451.3,16,6,2,10
1781880452.3,16,0,3,16
1781880453.3,11,6,2,5
1781880454.3,16,6,2,10
1781880455.3,16,0,1,16
